"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Acceptable PM2.5 AQI & Speciation Mass","Ozone","PM2.5","PM2.5 - Local Conditions"
2018-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,21,NA
2018-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,32,NA
2018-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,35,NA
2018-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,21,NA
2018-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,35,NA
2018-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,32,NA
2018-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31,40,NA
2018-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,22,NA
2018-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,8,NA
2018-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,23,NA
2018-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,33,33,NA
2018-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,17,NA
2018-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,29,NA
2018-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,54,NA
2018-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,9,NA
2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,49,NA
2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,39,NA
2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31,47,NA
2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,28,NA
2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,15,NA
2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,38,NA
2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,34,48,NA
2018-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,18,NA
2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,27,NA
2018-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,71,NA
2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,11,NA
2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,52,NA
2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,34.5,NA
2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,NA,3,NA
2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,16,53,NA
2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,NA,40,NA
2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,NA,40,NA
2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,NA,22,NA
2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,NA,44,NA
2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,27,42.5,NA
2018-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,NA,31,NA
2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,NA,38,NA
2018-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,NA,78,NA
2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,NA,20,NA
2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,NA,60,NA
2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,NA,49,NA
2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,28,53,NA
